Column Name,Unit,Definition,Notes
id,,Unique Patient Study ID,
reason_for_admission,,Reason for admission. ICD10 coded admit diagnosis,
age,years,Age ,
sex,,Sex,
height,cm,First documented height of patient ,
weight,kg,First documented weight of patient ,
received_covid_vaccine,,Not recorded,
smoking_history,,Identifies whether a patient smoked and categorized by how much,
year_they_quit,,Year the patient quit smoking,
previous_er_visit_within_14_days,,Indicator of whether a patient visited the ED within the past 14 days prior to admission,
admission_disposition,,First inpatient location after ER admit. ,"If ICU in the location name, then ICU. Else Ward."
systolic_blood_pressure,mmHg,,
diastolic_blood_pressure,mmHg,,
heart_rate,bpm,,
respiratory_rate,cpm,,First value in ED
oxygen_saturation,%,,First value in ED
temperature,°C,,
motor,Score,Glasgow Coma Scale. Motor response,
verbal,Score,Glasgow Coma Scale. Verbal response,
eye,Score,Glasgow Coma Scale. Eye response,
intubated,,Indicator of whether a patient was intubated.,"If Endotracheal tube is present in value, then counted as intubation."
wbc,x10E9/L,,
rbc,x10E12/L,,
hemoglobin,g/L,,
hematocrit,L/L,,
mcv,Fl,,
mch,pg,,
mchc,g/L,,
rdw,%,,
platelet_count,x10E9/L,,
aptt_aptr,,,
pt,seconds,,
alt,U/L,,
ast,U/L,,
serum_creatinine,umol/L,,
sodium,mmol/L,,
potassium,mmol/L,,
total_serum_bilirubin,umol/L,,
lactate,mmol/L,,
pao2,mmHg,,
pao2_fio2,mmHg,,
ph,Ph,,
high_senstivity_cardiac_troponin,ng/L,,
esr,mm/hr,,
inr,,,
ferritin,ug/L,,
d_dimer,ug FEU/L,,
crp,mg/L,,
hs_crp,nmol/L,,
